Nodos,Origen,Destino,Distancia,Tiempo(s),Camino
7,0,6,19,0.000198,"0 -> 1 -> 3 -> 4 -> 6"
7,0,6,19,0.000174,"0 -> 1 -> 3 -> 4 -> 6"
7,0,6,19,0.000184,"0 -> 1 -> 3 -> 4 -> 6"
7,0,6,4,0.000152,"0 -> 6"
7,0,6,4,0.000198,"0 -> 6"
7,0,6,4,0.000188,"0 -> 6"
7,0,6,4,0.000228,"0 -> 6"
7,0,6,4,0.000212,"0 -> 6"
100,0,6,3,0.005031,"0 -> 10 -> 8 -> 6"
50,0,6,3,0.001786,"0 -> 10 -> 31 -> 6"
46,0,6,3,0.001468,"0 -> 19 -> 6"
30,0,6,3,0.000876,"0 -> 5 -> 6"
30,0,6,3,0.000730,"0 -> 5 -> 6"
10,0,6,4,0.000274,"0 -> 6"
5,0,6,0,0.000179,"0 -> 6"
5,0,2,4,0.000209,"0 -> 4 -> 2"
10,0,2,4,0.000254,"0 -> 4 -> 2"
300,0,2,2,0.028848,"0 -> 221 -> 2"
300,0,2,2,0.028665,"0 -> 216 -> 2"
